instument,min,max,median,mean,skew,kurtosis
hkdollar_bond_fund,1.0568,1.4449,1.2895,1.26292695718,-0.184439684162,-1.53403176591
IXIC,1114.11,7505.77,2499.29,3023.74431898,1.02887365291,0.161653071332
us10yrby,1.358,6.79,3.45,3.44149824851,0.294825996033,-0.922008440621
hk_equity_fund,0.691,6.9707,3.1383,3.06476478338,0.0891223000571,-1.02756276926
conservative_fund,1.031,1.1052,1.1047,1.08221028629,-0.802308534125,-1.20682334144
HSI,8409.01,33154.12,20387.13,18938.5440014,-0.182983036674,-0.904753581415
us2yrby,0.157,6.936,1.3755,2.02885317919,0.933179735743,-0.229301666615
stable_fund,0.9686,2.1956,1.5922,1.56719057512,-0.20140273846,-1.0817418466
growth_fund,0.8409,3.0204,1.7203,1.71688940968,0.140831020799,-0.961739889459
balanced_fund,0.9212,2.5968,1.6693,1.64919475551,-0.0193473006986,-1.06318881214
